entity_id,account_name,segment,ticket_ref,case_id,opened_at,closed_at,channel,priority,summary,record_id,record_timestamp,source_system,source_type,actor_role,raw_action,outcome,details,initial_context_quality,response_quality,fulfills_request,request_id,missed_request_count,missing_item_count,severity,due_at,missing_items,attachments
acct_harborgrid,HarborGrid Retail,smb,hubspot_33018,HG-33018,2026-04-01T09:10:00+00:00,2026-04-01T13:05:00+00:00,email,normal,Storefront publish queue cleared after customer attached failing SKU diff,evt_33018_01,2026-04-01T09:12:00+00:00,hubspot_service,ticket_comment,requester,ticket_opened,issue_reported,"HarborGrid opened with the affected storefront IDs, the failed publish batch, and the exact SKU diff window.",complete,,,,,,,,,
acct_harborgrid,HarborGrid Retail,smb,hubspot_33018,HG-33018,2026-04-01T09:10:00+00:00,2026-04-01T13:05:00+00:00,email,normal,Storefront publish queue cleared after customer attached failing SKU diff,evt_33018_02,2026-04-01T09:30:00+00:00,hubspot_service,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested one failing SKU diff and the publish payload for the first rejected batch.,,,,diag-33018,,,,,,
acct_harborgrid,HarborGrid Retail,smb,hubspot_33018,HG-33018,2026-04-01T09:10:00+00:00,2026-04-01T13:05:00+00:00,email,normal,Storefront publish queue cleared after customer attached failing SKU diff,evt_33018_03,2026-04-01T11:05:00+00:00,hubspot_service,ticket_comment,requester,provided_requested_info,requested_artifacts_uploaded,The customer uploaded the requested diff and the failing publish payload before lunch.,,complete,true,diag-33018,,,,,,sku-diff.csv|publish-payload.json
acct_harborgrid,HarborGrid Retail,smb,hubspot_33018,HG-33018,2026-04-01T09:10:00+00:00,2026-04-01T13:05:00+00:00,email,normal,Storefront publish queue cleared after customer attached failing SKU diff,evt_33018_04,2026-04-01T13:05:00+00:00,hubspot_service,status_change,requester,confirmed_fix,publish_queue_restored,The customer confirmed new storefront publishes completed normally after the diff was replayed.,,,,,,,,,,
acct_lumenpath,LumenPath Mobility,mid_market,sfdc_11807,LP-11807,2026-04-09T08:40:00+00:00,2026-04-10T09:15:00+00:00,web,normal,Driver payout export delay narrowed after customer supplied a batch sample,evt_11807_01,2026-04-09T08:43:00+00:00,salesforce_service_cloud,ticket_comment,requester,ticket_opened,issue_reported,"LumenPath included the payout job ID, the delayed driver cohort, and the export retry window.",useful,,,,,,,,,
acct_lumenpath,LumenPath Mobility,mid_market,sfdc_11807,LP-11807,2026-04-09T08:40:00+00:00,2026-04-10T09:15:00+00:00,web,normal,Driver payout export delay narrowed after customer supplied a batch sample,evt_11807_02,2026-04-09T09:05:00+00:00,salesforce_service_cloud,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested one ledger slice and one delayed payout row from the affected batch.,,,,diag-11807,,,,,,
acct_lumenpath,LumenPath Mobility,mid_market,sfdc_11807,LP-11807,2026-04-09T08:40:00+00:00,2026-04-10T09:15:00+00:00,web,normal,Driver payout export delay narrowed after customer supplied a batch sample,evt_11807_03,2026-04-09T10:40:00+00:00,salesforce_service_cloud,ticket_comment,requester,provided_requested_info,requested_artifacts_uploaded,The requester uploaded the ledger slice and one delayed payout row while the ticket was still fresh.,,complete,true,diag-11807,,,,,,ledger-slice.csv|delayed-payout-row.csv
acct_summitcare,SummitCare Benefits,enterprise,jsm_77104,SC-77104,2026-01-19T14:00:00+00:00,2026-03-04T16:20:00+00:00,web,high,Eligibility roster retry is still blocked because the signed delta manifest never arrived,evt_77104_01,2026-01-19T14:05:00+00:00,jira_service_management,ticket_comment,requester,ticket_opened,issue_reported,"SummitCare shared the roster run ID, the downstream trading partner, and the window where the retry started failing.",useful,,,,,,,,,
acct_summitcare,SummitCare Benefits,enterprise,jsm_77104,SC-77104,2026-01-19T14:00:00+00:00,2026-03-04T16:20:00+00:00,web,high,Eligibility roster retry is still blocked because the signed delta manifest never arrived,evt_77104_02,2026-01-20T09:15:00+00:00,jira_service_management,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested the signed delta manifest and the source-side timestamp export for one rejected roster.,,,,diag-77104,,,,,,
acct_summitcare,SummitCare Benefits,enterprise,jsm_77104,SC-77104,2026-01-19T14:00:00+00:00,2026-03-04T16:20:00+00:00,web,high,Eligibility roster retry is still blocked because the signed delta manifest never arrived,evt_77104_03,2026-03-04T16:20:00+00:00,workflow_orchestrator,system_timer,system,request_deadline_missed,signed_manifest_not_received,The signed delta manifest and source timestamp export never arrived before the escalation window expired.,,,,diag-77104,2,,,2026-03-04T16:00:00+00:00,signed_delta_manifest|source_timestamp_export,
acct_pinecrest,Pinecrest Labs,mid_market,zd_55190,PC-55190,2026-04-11T08:00:00+00:00,2026-04-12T15:20:00+00:00,chat,high,Shipment exception count looked resolved at first but the reassuring update was misleading,evt_55190_01,2026-04-11T08:03:00+00:00,zendesk,ticket_comment,requester,ticket_opened,issue_reported,"Pinecrest opened with impacted route IDs and a note that the shipment exception count appeared back to normal.",complete,,,,,,,,,
acct_pinecrest,Pinecrest Labs,mid_market,zd_55190,PC-55190,2026-04-11T08:00:00+00:00,2026-04-12T15:20:00+00:00,chat,high,Shipment exception count looked resolved at first but the reassuring update was misleading,evt_55190_02,2026-04-11T08:22:00+00:00,zendesk,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested one before and after exception export and the impacted route IDs in CSV form.,,,,diag-55190,,,,,,
acct_pinecrest,Pinecrest Labs,mid_market,zd_55190,PC-55190,2026-04-11T08:00:00+00:00,2026-04-12T15:20:00+00:00,chat,high,Shipment exception count looked resolved at first but the reassuring update was misleading,evt_55190_03,2026-04-12T09:10:00+00:00,zendesk,ticket_comment,requester,followed_up_without_requested_info,reply_missing_requested_artifacts,The requester said the exception count looked better again but still did not attach the requested export or route list.,,,,,,1,2,,,exception_export_pair|route_id_csv,
acct_pinecrest,Pinecrest Labs,mid_market,zd_55190,PC-55190,2026-04-11T08:00:00+00:00,2026-04-12T15:20:00+00:00,chat,high,Shipment exception count looked resolved at first but the reassuring update was misleading,evt_55190_04,2026-04-12T15:20:00+00:00,qa_console,qa_review,qa,qa_marked_contradiction,claim_conflict_detected,QA confirmed the reassuring update conflicted with route-level counts and that the requested export pair still never arrived.,,,,,,,high,,,
